GEOGID,GEOGTYPE,GEOGDESC
E01001,ED,Carlow Urban
E01002,ED,Graigue Urban
E01003,ED,Clonmore
E01004,ED,Hacketstown
E01005,ED,Haroldstown
E01006,ED,Kineagh
E01007,ED,Rahill
E01008,ED,Rathvilly
E01009,ED,Tiknock
E01010,ED,Williamstown
E01011,ED,Agha
E01012,ED,Ballinacarrig
E01013,ED,Ballintemple
E01014,ED,Ballon
E01015,ED,Ballyellin
E01016,ED,Ballymoon
E01017,ED,Borris
E01018,ED,Burton Hall
E01019,ED,Carlow Rural
E01020,ED,Clogrenan
E01021,ED,Clonegall
E01022,ED,Corries
E01023,ED,Cranemore
E01024,ED,Fennagh
E01025,ED,Garryhill
E01026,ED,Grangeford
E01027,ED,Johnstown
E01028,ED,Kellistown
E01029,ED,Kilbride
E01030,ED,Killedmond
E01031,ED,Killerrig
E01032,ED,Leighlinbridge
E01033,ED,Muinebeag (Bagenalstown) Rural
E01034,ED,Muinebeag (Bagenalstown) Urban
E01035,ED,Myshall
E01036,ED,Nurney
E01037,ED,Oldleighlin
E01038,ED,Rathanna
E01039,ED,Rathornan
E01040,ED,Rathrush
E01041,ED,Ridge
E01042,ED,Shangarry
E01043,ED,Sliguff
E01044,ED,Tankardstown
E01045,ED,Templepeter
E01046,ED,Tullowbeg
E01047,ED,Tullow Rural
E01048,ED,Tullow Urban
E01049,ED,Ballymurphy
E01050,ED,Coonogue
E01051,ED,Glynn
E01052,ED,Kyle
E01053,ED,Marley
E01054,ED,Tinnahinch
E02001,ED,Arran Quay A
E02002,ED,Arran Quay B
E02003,ED,Arran Quay C
E02004,ED,Arran Quay D
E02005,ED,Arran Quay E
E02006,ED,Ashtown A
E02007,ED,Ashtown B
E02008,ED,Ayrfield
E02009,ED,Ballybough A
E02010,ED,Ballybough B
E02011,ED,Ballygall A
E02012,ED,Ballygall B
E02013,ED,Ballygall C
E02014,ED,Ballygall D
E02015,ED,Ballymun A
E02016,ED,Ballymun B
E02017,ED,Ballymun C
E02018,ED,Ballymun D
E02019,ED,Ballymun E
E02020,ED,Ballymun F
E02021,ED,Beaumont A
E02022,ED,Beaumont B
E02023,ED,Beaumont C
E02024,ED,Beaumont D
E02025,ED,Beaumont E
E02026,ED,Beaumont F
E02027,ED,Botanic A
E02028,ED,Botanic B
E02029,ED,Botanic C
E02030,ED,Cabra East A
E02031,ED,Cabra East B
E02032,ED,Cabra East C
E02033,ED,Cabra West A
E02034,ED,Cabra West B
E02035,ED,Cabra West C
E02036,ED,Cabra West D
E02037,ED,Clontarf East A
E02038,ED,Clontarf East B
E02039,ED,Clontarf East C
E02040,ED,Clontarf East D
E02041,ED,Clontarf East E
E02042,ED,Clontarf West A
E02043,ED,Clontarf West B
E02044,ED,Clontarf West C
E02045,ED,Clontarf West D
E02046,ED,Clontarf West E
E02047,ED,Drumcondra South A
E02048,ED,Drumcondra South B
E02049,ED,Drumcondra South C
E02050,ED,Edenmore
E02051,ED,Finglas North A
E02052,ED,Finglas North B
E02053,ED,Finglas North C
E02054,ED,Finglas South A
E02055,ED,Finglas South B
E02056,ED,Finglas South C
E02057,ED,Finglas South D
E02058,ED,Grace Park
E02059,ED,Grange A
E02060,ED,Grange B
E02061,ED,Grange C
E02062,ED,Grange D
E02063,ED,Grange E
E02064,ED,Harmonstown A
E02065,ED,Harmonstown B
